yPos,xPos,yVel,zVel,j1P,j2P,j3P,j4P,j5P,j6P,j7P,j1V,j2V,j3V,j4V,j5V,j6V,j7V,time,steps,j1Pmax,j1Pmin,j1Vmax,j1Amax,j1PmaxDist,j1PminDist,j1VmaxDist,j2Pmax,j2Pmin,j2Vmax,j2Amax,j2PmaxDist,j2PminDist,j2VmaxDist,j3Pmax,j3Pmin,j3Vmax,j3Amax,j3PmaxDist,j3PminDist,j3VmaxDist,j4Pmax,j4Pmin,j4Vmax,j4Amax,j4PmaxDist,j4PminDist,j4VmaxDist,j4Pmax,j5Pmin,j5Vmax,j5Amax,j5PmaxDist,j5PminDist,j5VmaxDist,j6Pmax,j6Pmin,j6Vmax,j6Amax,j6PmaxDist,j6PminDist,j6VmaxDist,j7Pmax,j7Pmin,j7Vmax,j7Amax,j7PmaxDist,j7PminDist,j7VmaxDist,catch?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0107103603,0.3539159662,1.3940566422,0.5435264483,0.6920470796,-1.0759113327,0.8132728038,2.2354524194,0.6776303882,-1.1558322543,-2.4865931853,-0.7662836411,-1.0024996188,0.6351942018,-0.0776714266,1.1411084886,2.4420945608,-0.6439942633,1.41976,100,0.78191,-0.222811,1.5,2.89599,0.9180898786,1.4771892846,0.5,-0.364704,-1.01261,0.848503,0.70044,1.4047039235,1.0873911142,1.1514971256,0.773104,0.360782,0.566966,0.473797,2.2768962264,3.4107821465,1.4330339432,2.23606,1.71835,0.707247,0.96635,0.381936758,1.768349576,1.2927531004,0.606125,-0.827199,1.68647,1.94942,2.4938747644,2.222800839,2.313528657,-1.16889,-1.74454,1.63096,3,3.2688933373,-0.1745442677,2.3690406084,-0.908884,-2.44129,1.85959,2.25523,4.0088836312,0.6087079525,2.1404088736,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0244134474,0.303926466,1.4745181224,0.5055816817,0.6458589507,-0.8867707195,0.830299854,2.2412125854,0.5412795578,-1.2962004052,-2.4857249769,-0.8081769515,-0.9521435357,0.8179541474,0.0400726073,1.1803065988,2.3389357236,-0.5932335938,1.80946,177,0.771369,-0.222811,1.47951,2.33101,0.9286314964,1.4771892846,0.520491004,-0.290199,-0.827023,0.78391,0.895188,1.3301993692,1.2729768515,1.2160899043,0.779204,0.329785,0.663484,2.65326,2.2707963467,3.3797849,1.3365159631,2.23373,1.37281,1.35516,3,0.3842680149,1.4228134632,0.6448423862,0.469887,-0.827199,1.36051,1.96882,2.6301125944,2.222800839,2.6394927502,-1.16838,-1.87144,1.62085,3,3.2683757305,-0.3014392185,2.3791451454,-0.832057,-2.44501,2.04292,3,3.9320572376,0.6049862385,1.9570758343,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0086944173,0.3989440705,1.3569494965,0.5500250457,0.6590446055,-1.2127811023,0.8546889573,2.2210211113,0.7792733852,-1.0373516755,-2.5339635815,-0.7375336141,-1.011616142,0.4932344119,-0.1950434065,1.271177461,2.5021798171,-0.7595893203,1.51844,119,0.773041,-0.222811,1.5,3,0.9269587517,1.4771892846,0.5,-0.364704,-1.14251,0.923282,0.792703,1.4047039235,0.9574937582,1.0767177939,0.818178,0.354203,0.636148,0.8075,2.2318219423,3.4042033136,1.3638520837,2.22914,1.70965,0.757723,1.33415,0.3888597183,1.7596539736,1.2422774434,0.696853,-0.827199,1.66387,2.59689,2.4031469584,2.222800839,2.3361324072,-1.15766,-1.67423,1.69364,3,3.2576597691,-0.1042322445,2.3063570261,-0.908884,-2.48217,1.83604,2.43669,4.0088836312,0.5678325176,2.163962245,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.00582023,0.3115537126,1.4506299732,0.4428671525,0.689112032,-0.9044343895,0.8265500272,2.2156865906,0.5882302009,-1.2838626942,-2.4995203312,-0.7705391215,-0.8961969138,0.7816182917,0.016741448,1.1952717935,2.2163556796,-0.6362655962,1.45529,123,0.800948,-0.222811,1.5,3,0.8990517378,1.4771892846,0.5,-0.363625,-0.843543,0.669369,0.523698,1.4036250496,1.2564567089,1.3306307197,0.774376,0.353468,0.596636,1.17025,2.2756239653,3.4034680605,1.4033635259,2.20962,1.71921,0.602674,1.22753,0.4083804779,1.7692089558,1.397326231,0.509229,-0.827199,1.53311,2.31557,2.5907711744,2.222800839,2.4668918848,-1.16889,-1.82856,1.54356,3,3.2688933373,-0.2585648823,2.4564443827,-0.908884,-2.45018,1.85676,2.39445,4.0088836312,0.59981637,2.1432350874,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0220049689,0.3154551337,1.4905474876,0.4227261937,0.6540061956,-0.9313512468,0.8290673499,2.2428136658,0.5721448393,-1.2653773041,-2.4829803872,-0.7725216564,-0.9596427416,0.7862501565,-0.0114415625,1.2508162142,2.3287829846,-0.6217663993,1.54505,126,0.782373,-0.222811,1.5,2.95853,0.9176272273,1.4771892846,0.5,-0.364704,-0.876571,0.698218,0.719067,1.4047039235,1.2234286428,1.3017823696,0.780822,0.186475,1.07244,1.90024,2.2691779614,3.2364753366,0.9275616407,2.2389,1.68733,0.879105,2.23693,0.3791017227,1.7373334646,1.1208946109,0.498695,-0.827199,1.39358,1.54372,2.6013050735,2.222800839,2.6064236164,-1.16691,-1.8334,1.58084,3,3.2669073105,-0.2633951235,2.4191567898,-0.905986,-2.44235,1.94923,3,4.0059858322,0.6076462746,2.0507674217,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0132041281,0.3251806326,1.3853212132,0.6446791564,0.6773179415,-0.9645190507,0.8243293381,2.2329354182,0.6087912165,-1.2414570011,-2.4876391673,-0.8472658829,-0.9779709309,0.7573303057,0.020073616,1.0492886464,2.4254362944,-0.5948281145,1.50284,130,0.841763,-0.222811,1.5,3,0.8582370996,1.4771892846,0.5,-0.349247,-0.89229,0.838988,1.4542,1.3892474854,1.2077104807,1.1610124707,0.764979,0.342205,0.723639,0.6403,2.2850212932,3.392204839,1.2763613462,2.22545,1.71048,0.692111,1.46984,0.3925499611,1.7604821205,1.3078889251,0.533564,-0.827199,1.54661,1.82096,2.5664363265,2.222800839,2.4533857107,-1.16889,-1.85273,1.62929,3,3.2688933373,-0.2827277708,2.3707051277,-0.908884,-2.44165,1.83461,2.13962,4.0088836312,0.6083488941,2.1653943062,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0279605121,0.3807373026,1.3919832525,0.6008200678,0.6292121029,-1.1776113536,0.8451776839,2.2570418439,0.7065949353,-1.0692333151,-2.4871469098,-0.7852031732,-1.0897979856,0.5595142433,-0.163658151,1.175077219,2.6533656198,-0.6453878735,1.51638,204,0.740932,-0.222811,1.49524,2.34031,0.9590680718,1.4771892846,0.5047557354,-0.364704,-1.10708,0.89341,0.70236,1.4047039235,0.9929158449,1.1065903902,0.804369,0.360772,0.609909,0.44196,2.2456313252,3.4107721031,1.3900912404,2.26279,1.71735,0.723194,1.09039,0.355206459,1.7673544169,1.2768056393,0.628715,-0.827199,1.60415,1.64769,2.4712853789,2.222800839,2.3958508968,-1.16889,-1.78925,1.82074,3,3.2688933373,-0.2192465591,2.1792639494,-0.907519,-2.43718,1.7767,2.05865,4.0075191617,0.6128168583,2.223300457,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0408578779,0.3719424199,1.4234602788,0.6037775613,0.6001735339,-1.1580941994,0.8484395848,2.2769706765,0.6646932854,-1.0856659632,-2.4663398401,-0.8063288451,-1.1312243732,0.601221075,-0.1572421234,1.1615056855,2.7256222975,-0.5931748201,1.64397,78,0.750974,-0.222811,1.44928,2.60858,0.9490260005,1.4771892846,0.5507216454,-0.364704,-1.07534,0.920803,0.882167,1.4047039235,1.0246646166,1.0791969895,0.800575,0.361636,0.629199,1.78867,2.2494246841,3.411635983,1.3708006144,2.28425,1.71675,0.695804,2.72964,0.3337533169,1.7667495489,1.3041963577,0.579748,-0.827199,1.38658,3,2.5202523232,2.222800839,2.6134217978,-1.1686,-1.88508,1.91086,3,3.2685988903,-0.3150799799,2.0891406536,-0.908703,-2.42024,1.67313,1.99957,4.0087033868,0.6297600746,2.3268717527,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.006133626,0.3846837221,1.4759508139,0.211723093,0.6964298875,-1.1781452559,0.8161951322,2.2252625084,0.7519737573,-1.0693831467,-2.5098154151,-0.5712998563,-0.9728365,0.4711323885,-0.2342093086,1.5339362882,2.3177565827,-0.8569880511,1.52019,73,0.787365,-0.222811,1.5,3,0.9126345038,1.4771892846,0.5,-0.350895,-1.12957,0.982945,1.10323,1.3908946896,0.9704305887,1.017054677,0.794026,0.361636,0.477782,0.531859,2.2559737444,3.411635983,1.5222180188,2.23273,1.67728,0.884441,2.52097,0.3852679424,1.7272811413,1.1155592799,0.677146,-0.827199,1.55084,3,2.4228535652,2.222800839,2.449161768,-1.1476,-1.5661,1.49783,3,3.2476023197,0.0038960648,2.5021693707,-0.894502,-2.46281,2.02504,2.63232,3.994502461,0.5871890068,1.9749624729,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0360901751,0.3947311177,1.4462254553,0.4611110354,0.5820192918,-1.2224043878,0.8802270749,2.2614165393,0.7235184114,-1.0266706534,-2.4970097203,-0.7282242034,-1.0974072548,0.5101500371,-0.244889155,1.3637364997,2.6393673153,-0.7198857151,1.94941,134,0.78348,-0.222811,1.32827,1.81302,0.9165201902,1.4771892846,0.6717274189,-0.299255,-1.11667,1.00192,1.36835,1.3392545366,0.9833349943,0.9980778694,0.832285,0.348432,0.511494,0.440675,2.2177154899,3.3984321237,1.4885064364,2.27997,1.57246,0.984264,3,0.3380255394,1.6224576712,1.0157356262,0.59207,-0.827199,1.09561,1.76576,2.5079303742,2.222800839,2.9043928385,-1.08284,-1.83114,1.82664,3,3.1828386545,-0.2611350346,2.1733627319,-0.856968,-2.42166,1.68454,2.20538,3.9569681048,0.6283381462,2.3154639006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0011747095,0.3284518003,1.4188934962,0.4665643156,0.7075149615,-0.969854563,0.8175284327,2.2149908651,0.6353204658,-1.2369514166,-2.4973950504,-0.7605862642,-0.9180021843,0.7223456479,-0.0191896184,1.1699419506,2.256793889,-0.6490723831,1.65948,89,0.849239,-0.222811,1.5,2.54083,0.8507614851,1.4771892846,0.5,-0.356941,-0.891996,0.73765,0.549378,1.3969409847,1.208004272,1.262350142,0.755458,0.304639,0.694772,2.32258,2.2945417643,3.3546394885,1.3052281737,2.21262,1.68829,0.713519,2.32101,0.4053778343,1.7382863045,1.2864814401,0.540408,-0.827199,1.39193,1.39766,2.5595915079,2.222800839,2.6080713272,-1.12721,-1.77412,1.4638,3,3.227212286,-0.2041214037,2.5362030268,-0.901454,-2.43841,1.75752,3,4.0014541507,0.6115904331,2.2424846888,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0138270419,0.3837345297,1.4013394294,0.478695573,0.6710520386,-1.1787567319,0.8287956194,2.2364315867,0.7371716033,-1.0688106543,-2.5029771432,-0.7022887169,-1.0219922751,0.5137034533,-0.1753871466,1.269675051,2.4842839038,-0.7237355146,1.55632,242,0.832958,-0.222811,1.5,3,0.8670415998,1.4771892846,0.5,-0.36287,-1.0637,0.796523,1.36414,1.4028701568,1.0362953901,1.2034771442,0.768611,0.355936,0.470303,2.32074,2.2813893437,3.4059362888,1.5296973288,2.24918,1.71202,0.76065,3,0.3688230209,1.7620249271,1.2393501401,0.597924,-0.828007,1.60783,2.34392,2.5020758867,2.2219929576,2.3921667337,-1.16546,-1.80912,1.68229,3,3.2654596329,-0.2391211319,2.3177092075,-0.908328,-2.41533,1.80268,2.53617,4.0083280563,0.6346707821,2.1973153353,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0350550414,0.3968161329,1.4099502326,0.5575562567,0.580379407,-1.2266445851,0.8846389814,2.2586966592,0.7301197852,-1.0225408713,-2.5018656025,-0.7775763904,-1.1070445376,0.5214212447,-0.2311949924,1.283939937,2.6917082175,-0.6914778032,1.62171,97,0.764013,-0.223161,1.5,2.86996,0.9359867692,1.4768385112,0.5,-0.355443,-1.15381,0.923232,1.03176,1.3954427624,0.9461943865,1.0767679215,0.849124,0.356893,0.551406,1.33159,2.2008760452,3.4068930626,1.4485942721,2.26927,1.71337,0.74601,2.26908,0.3487298183,1.7633712769,1.2539904714,0.650585,-0.827199,1.64328,2.09743,2.4494153619,2.222800839,2.3567162752,-1.16605,-1.80286,1.91528,3,3.2660454273,-0.2328616905,2.0847201347,-0.907867,-2.44908,1.69941,1.86272,4.0078669548,0.6009209633,2.3005928993,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0070819329,0.3303617829,1.4920496358,0.2953277677,0.6940276548,-0.9813767982,0.8196020934,2.225045965,0.6304934141,-1.2288133579,-2.4916198946,-0.7015548376,-0.9290011428,0.720629194,-0.0732360394,1.3486944139,2.2348051911,-0.6925740041,1.67038,215,0.843158,-0.223847,1.5,3,0.8568418741,1.4761533558,0.5,-0.357507,-0.935508,0.731612,0.589163,1.3975074077,1.1644918084,1.2683884502,0.782383,0.284046,0.778804,0.946017,2.2676174521,3.3340457261,1.221195519,2.22552,1.6922,0.727913,1.15849,0.3924784355,1.7421956539,1.2720872164,0.560555,-0.827199,1.27444,2.13804,2.53944484,2.222800839,2.7255632877,-1.09689,-1.67671,1.43372,3,3.1968873501,-0.1067067909,2.5662800074,-0.850257,-2.4522,2.03615,2.48603,3.9502569795,0.5978043556,1.9638540745,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0065458438,0.3924721969,1.4935539227,0.1473241925,0.6825503264,-1.1983680593,0.831486037,2.222254255,0.7683482159,-1.0510733418,-2.5219245435,-0.544290966,-0.968964526,0.4477089038,-0.2738238496,1.6448626837,2.3019125624,-0.9220779634,1.31812,108,0.742333,-0.222819,1.5,3,0.9576674223,1.4771811038,0.5,-0.364699,-1.13527,1.05428,1.07259,1.4046991253,0.9647284508,0.9457224607,0.797855,0.346428,0.737728,0.90609,2.2521445036,3.3964283049,1.2622720599,2.2349,1.71605,0.845038,3,0.3831031017,1.7660538435,1.1549619436,0.663092,-0.827208,1.94612,2.09144,2.4369083405,2.2227918983,2.0538785458,-1.16888,-1.61122,1.57254,3,3.2688756943,-0.0412221479,2.4274637699,-0.908884,-2.45971,2.03311,2.88897,4.0088836312,0.5902944088,1.9668896198,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0121442125,0.3198688345,1.4484077096,0.4692212577,0.6779525813,-0.9424157697,0.8255767111,2.2293224399,0.598115782,-1.2574097307,-2.490386319,-0.7791176351,-0.9377308841,0.7630901825,-0.0051249914,1.1882688226,2.2991848365,-0.6282405639,1.48717,124,0.779136,-0.222811,1.5,2.55383,0.9208644748,1.4771892846,0.5,-0.356674,-0.885502,0.860052,0.702727,1.3966739261,1.214497602,1.1399482489,0.783429,0.361636,0.512335,0.753457,2.2665713906,3.411635983,1.4876648188,2.22492,1.71842,0.622445,1.11886,0.3930806808,1.7684206247,1.3775545359,0.529882,-0.827199,1.51178,3,2.5701182842,2.222800839,2.4882175922,-1.16875,-1.81239,1.60009,3,3.2687538624,-0.2423856783,2.3999135494,-0.908884,-2.45015,1.83099,2.05333,4.0088836312,0.599849987,2.1690144539,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.0177802424,0.3123393568,1.4958744969,0.3901601452,0.6626577921,-0.9158964668,0.828747794,2.234980256,0.5715774795,-1.2762395799,-2.4881627274,-0.7606226905,-0.9358121573,0.792496844,-0.0070379467,1.2715065897,2.2768186574,-0.6337790026,1.46215,106,0.779318,-0.222811,1.5,2.59104,0.9206818461,1.4771892846,0.5,-0.361498,-0.841322,0.740957,0.835716,1.4014983559,1.2586776376,1.2590432167,0.767916,0.361636,0.551201,0.930875,2.2820836783,3.411635983,1.4487991333,2.23028,1.71921,0.615501,2.02287,0.3877241306,1.7692089558,1.384498775,0.472265,-0.827199,1.50983,1.89699,2.6277349353,2.222800839,2.4901709557,-1.16889,-1.84445,1.53918,3,3.2688933373,-0.2744482088,2.4608237743,-0.908884,-2.43144,1.82177,2.045,4.0088836312,0.6185584545,2.178231597,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
